filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
6875317312082201857,0.44557434,2747.2580107371873,2020.6491216431084,5297.622403231534,0.1890916700487013,-107.400795,75.83488,-80.08672,28.676441,-57.19676,21.140507,-39.0814,10.07582,-10.762289,2.8694046,-3.034558,-10.352499,7.4415836,-10.581148,8.364483,-4.66043,15.533567,0.93792814,10.310131,-3.2406697,0.0008049351496525
6875323773755657474,0.33313474,1812.114134188708,1580.771498896692,3446.998260362814,0.10662057445531757,-262.60974,120.35195,-31.681631,49.745846,-11.496558,9.048649,-15.401798,4.075526,-20.279669,-3.6523502,-1.5191464,-15.107998,13.9195595,-10.353311,-0.7754633,-3.0527008,-3.3360312,-6.546474,-2.021772,-1.373575,0.0001890955728286
6875342937002085633,0.40026608,1944.3606027975445,1560.3959537603532,3507.6490657344743,0.11542875447850319,-310.88025,126.66185,-46.50023,27.055515,-25.717257,20.599098,-8.950718,5.749332,-8.921844,17.976301,10.3077545,0.21352488,15.128963,-5.7008753,10.273509,-2.0304003,6.1796503,1.2242557,5.150634,0.19795825,0.0014986303494911
6875370613523909890,0.29518035,2116.037533088183,1934.255172977682,4351.187438964844,0.120654296875,-188.17299,107.78216,-39.465355,43.77811,-41.941246,10.482112,-34.595287,4.3837867,-17.634495,-6.28379,-8.120958,-10.360028,1.5808729,-17.70442,1.1206452,-13.720979,5.5541425,-6.4360547,2.7725067,-3.352244,8.564197913842068e-05
6875373441432816898,0.2922945,2113.518369317033,1797.0108999829106,4164.66433363406,0.12270135902948404,-236.50972,97.10709,-63.896763,35.321415,-44.308357,28.77367,-29.090279,9.756688,-14.972964,3.9730804,-6.0503006,-12.574279,1.3978742,-15.371344,13.029241,-4.472447,18.715902,4.007404,7.7942157,-1.417918,0.0002566392495945
6875378565614013697,0.33102298,1935.347086812837,1938.6279687786662,4203.47458216428,0.09072205156733747,-111.65763,136.07375,-36.16087,60.48603,-34.82234,42.93615,-29.673832,11.152757,-11.392477,1.5287253,-5.5337005,-6.829476,6.0138326,-13.940817,11.249761,-13.280842,4.6010127,-11.324398,-0.67889565,-2.7537944,0.0007104161856433
6875394675985992966,0.41837335,1600.8693849138233,1385.9772046795513,2951.4820445667615,0.09651798396915584,-97.105484,161.90427,-59.581944,52.630924,-4.832383,7.8392887,-17.729076,3.1183908,-11.047981,9.03535,3.106297,-0.081109166,15.384052,-3.793959,4.90578,-6.5508313,2.1926458,2.6810195,8.825103,-10.311907,0.0007794556163734
6875405441472498949,0.4056802,1725.222166031728,1477.9682020985988,3237.3741308188537,0.11405844787344398,-256.9031,128.74136,-34.038097,40.025913,5.9245443,12.143421,-3.8967683,-15.080252,-24.336428,-5.0098453,-11.262257,-7.3435597,4.900962,-8.58114,6.4719005,-0.52216977,-4.964055,-3.1774557,1.1481475,-9.483882,0.0004708974922346
6875436892226178305,0.42082235,1025.1448370423377,1264.3887803148982,2082.61962890625,0.0441986083984375,-208.03029,183.99492,-15.41477,35.797546,-4.449292,14.413379,4.215335,13.94442,-17.402306,9.311497,2.391145,-1.4703125,8.57322,-4.5821247,11.249539,-2.9812098,11.263565,0.4177546,7.98047,9.829472,0.0006194000523334
6875453919879908614,0.31668374,1411.3992273178,1380.0435340263537,2784.9828542461833,0.06736641221374046,-137.04692,139.60332,-52.192547,40.887768,-26.833683,-8.88763,-10.033918,4.7161045,-6.834373,-17.50768,-3.2224894,-11.09712,-2.8242695,-6.4163914,-7.8104916,-5.4100666,-3.0232165,-5.9576774,-3.2746441,-12.260404,0.0019739019305631
